event_id,name,description_about,topics_covered,materials_to_bring,start,end,building_and_room,company,speakers_instructors
1,Event 1,"Sign fund suggest parent church policy. Article TV million nor learn produce.
Others write become wear. Air production while language hand amount gas.",['Psychiatry'],"['cause', 'detail', 'citizen']",2024/10/09T16:30,2024/10/09T17:30,"3580 Christopher Camp Apt. 648
Donnamouth, WY 76986","Walker, Allen and Flores","['fsmith', 'sara91', 'tsoto']"
2,Event 2,Range appear almost resource. Expect be small happen tell call remember.,"['Psychiatry', '3D Modelling', 'Data science']","['black', 'as', 'open']",2024/10/13T16:00,2024/10/13T18:00,"98400 Thomas Mount Suite 957
Michaelbury, AS 25554","Hayes, Ramirez and Forbes","['don98', 'robert45', 'nmartinez', 'elizabethgarcia', 'hudsonlaura']"
3,Event 3,"Think event behind because. Cultural add process teach trip. Set article test sign buy him security.
Treatment church reveal outside firm door.","['Cell & Tissue Engineering', 'Ethics']","['few', 'population', 'million']",2024/10/09T14:30,2024/10/09T15:30,"854 Matthew Orchard Apt. 979
Rosston, DC 82495",Harris and Sons,"['nancy77', 'awilliams', 'brucewest']"
4,Event 4,Together along evidence door price although ability go. Explain might career put high. Summer run though nature.,"['Ethics', 'Surgery']","['movement', 'example', 'foot']",2024/10/13T17:00,2024/10/13T19:00,"2672 Crystal Court Suite 824
South Nicole, ND 86002","Henry, Bailey and Thompson","['ericfletcher', 'andersoncathy', 'epalmer', 'hharvey', 'wesley75']"
5,Event 5,"Television write final participant policy professional. Relationship improve when others sometimes exactly plan.
Age certainly someone yet happen water. Receive attention friend.",['Telecommunications'],"['return', 'one', 'go']",2024/10/10T23:00,2024/10/11T01:00,"415 Carol Villages Apt. 924
Clarkland, NY 08189","Bates, Henderson and Larson","['dylan09', 'ojohnson', 'smithtiffany', 'lyonsmelinda', 'ryan39']"
6,Event 6,"Among force painting opportunity. Race between point trip sort tend.
Like man inside may glass language. Company nice almost. Election baby best human allow hotel road.",['3D Modelling'],"['message', 'order', 'onto']",2024/10/11T12:30,2024/10/11T13:30,"1308 Christopher Ville Apt. 355
New Angelabury, MS 08671",Hammond-Smith,['goldencarol']
7,Event 7,"Thousand trade lay stage beyond road.
City half center million religious generation. Candidate human nothing camera he explain.
Day husband lead defense indicate. Difficult range himself protect.",['3D Modelling'],"['campaign', 'move', 'population']",2024/10/13T22:30,2024/10/13T23:30,"5695 Brittany Expressway Suite 867
Lake Jennifertown, TX 85521",Wilson Group,"['miranda93', 'april90', 'browland', 'floresmorgan', 'cacosta']"
8,Event 8,Girl standard local kind. Board significant professional traditional million especially statement this. Those media pretty fire.,"['Biomedical imaging', 'Data modelling', 'Exoskeletons', 'Epidemics', 'Cleantech']","['strong', 'us', 'realize']",2024/10/11T19:00,2024/10/11T20:00,"537 Martin Greens
Port Benjamin, NH 60238",Reeves PLC,"['charles07', 'mwalters', 'mclements', 'christinewong', 'lisa94']"
9,Event 9,"Stage imagine station happen. Pick hard reveal field. General nothing future example glass significant room bad.
Enter child age measure. Make exactly window become. Remember account deal.","['Exoskeletons', 'Dentistry', 'Data modelling', 'Biomaterials', 'Hardware & robotics']","['before', 'might', 'tonight']",2024/10/12T21:00,2024/10/12T23:00,"140 Amy Road Apt. 648
Cabreraborough, MN 01361",Jones LLC,"['adamcrosby', 'karen16', 'whitedaniel']"
10,Event 10,Will voice degree loss minute kind back wall. Serve half easy first when off use able. They picture expert tough would board former enough.,"['Virtual reality', '3D Printing', 'Nuclear medicine']","['begin', 'raise', 'issue']",2024/10/13T03:30,2024/10/13T04:30,"7170 Kristen Stravenue Apt. 847
Lake Karen, NV 72621",Simpson Inc,"['qclark', 'michaelwatson', 'stephaniemoore']"
