partner_id,name,website_link,area_sector,headquarters,logo_id,facebook_link,instagram_link,linkedin_link,biography,interests,username
1,"Johnson, Knight and Vincent",http://www.smith.com/,scale cross-media web-readiness,West Daniel,b71022a8-488f-4ea6-a166-64851d6e85bc,https://www.frederick.com/,https://www.johnson.com/,https://www.warren-gray.com/,Civil candidate card old not. Candidate officer total set although card. Seven threat interest art raise lead add.,"['Cleantech', 'Hardware & robotics', 'Artificial Intelligence']",davidlopez
2,"Dominguez, Wells and Bennett",http://cantu.net/,drive impactful deliverables,New Barbaraton,87dde2d9-661a-4f56-aa9d-3075375da247,https://www.harmon-barber.com/,https://edwards.com/,https://brown.com/,Film so Congress chance against. Energy partner third benefit painting water. Listen hot store.,"['Biomedical imaging', 'Epidemics', 'Artificial Intelligence']",gspencer
3,May-Lee,http://www.black-willis.com/,morph virtual methodologies,Howellshire,a05f3cc0-619a-417b-90a7-84e7ee8f5daa,http://dawson.org/,http://murphy.biz/,https://www.berry.com/,"Sound against forward recognize ball physical. Family perform fire.
Ago investment agree civil others character. Cover try play friend. Process entire resource bed. Data agency clear someone focus.","['3D Modelling', 'Bionic systems']",robertskristen
4,Hudson Inc,http://www.cantrell.com/,expedite distributed e-services,New Johnport,8142e333-fc83-4032-985d-039f921e9994,https://hansen.com/,http://www.stone.info/,https://smith-stone.info/,"Defense international tree staff. May expert civil employee book.
Skill project wide far peace investment stay.
None form among question pass. Home nearly there sport health outside detail.","['Biomaterials', 'Telecommunications', 'Bionic systems']",millerrachel
5,Taylor-Hall,https://www.moore.com/,revolutionize turn-key interfaces,West Joshua,f47c4312-1696-4c9f-867d-85ec57ca0993,https://hart-allen.com/,http://cooper-vang.com/,http://www.williams.com/,Purpose indeed stage message paper. Ability by enter. No life me use.,['Nuclear medicine'],sburgess
6,Gregory PLC,https://bennett.biz/,exploit innovative communities,Watersmouth,d3d1ee84-a8ff-4741-9007-2163ec47a4ae,https://wood.com/,https://www.whitehead-lowe.org/,http://ferguson-brown.info/,Throughout food low see huge stay. Himself picture coach Mr decision author rise. Before we more a.,"['Nuclear medicine', 'Integrative medicine', 'Artificial reality', 'Biomedical imaging', '3D Modelling']",joshua49
7,Stevens-Underwood,http://www.kelly-dixon.com/,engineer end-to-end web services,North Stephen,eace71fb-0612-4b2a-9e1d-316a3bc27949,http://robles.com/,https://simmons-thompson.info/,http://www.hart.com/,"Specific go future partner popular maintain once. Sometimes hit artist piece.
Individual painting debate forward able always unit.","['Cleantech', 'Biomaterials']",alexanderanita
8,Li PLC,https://www.hicks.info/,repurpose synergistic models,Oneillland,dcdc52b3-9d97-4c86-a0d2-4d6eb3f7f577,https://www.bernard.org/,http://www.white.com/,http://www.nixon-wilson.org/,"Skin commercial gun process ground attorney.
In rise close kid. She notice officer place safe describe hair.","['Biomaterials', 'Artificial Intelligence']",zunigamatthew
9,Fritz-Hardy,http://webster-williams.com/,revolutionize real-time applications,South Kristen,5bb5415e-759e-4398-bd0b-593e52cfbcfb,http://bauer-kramer.info/,http://www.madden-morgan.org/,http://www.berger.com/,"Group leave begin win might model without. Gun store allow. Billion study experience owner well western glass. Attack wife and black want third drop.
Research wait inside ago serious half pull.","['Surgery', 'Ethics', '3D Modelling', 'Machine Learning', 'Hardware & robotics']",mejiamakayla
10,Hardy-Schmidt,https://www.terrell.org/,enhance enterprise technologies,East Erica,8af7b888-f0c4-49cf-8f76-664d9cccdfd4,https://www.hayes.info/,http://may.info/,http://ochoa-king.net/,"Main world leader deep firm.
Church second those remember option her. Perhaps event claim allow window. Campaign picture computer wrong management.
Bring still statement staff step.",['Virtual reality'],wyoung
11,Mcintyre-Johnson,http://jenkins.com/,seize cross-platform e-markets,Wadetown,9a28d0bb-d85e-4037-8165-5ee1da791585,https://church.net/,http://conner.net/,https://wilson.com/,"Those security create still area field she. Red understand body store sound prevent improve.
Every low I. Campaign score crime special until usually.",['Epidemics'],ashleymyers
12,"Marshall, Sexton and Jones",https://porter.com/,transform killer portals,South Jessicabury,1384dcef-44df-4285-9013-5a2f967e5957,https://www.rodriguez.com/,https://thompson.com/,https://www.singleton-johnson.net/,"Parent face total return reason.
Thousand firm stage speech offer. They where minute public walk example five speak. Majority scene station bad would know light. Owner model close rate hour wall.","['Data modelling', 'Artificial reality', 'Epidemics', 'Neuroscience', 'Integrative medicine']",richarddavis
13,Sanchez Inc,http://aguirre.com/,engineer leading-edge e-commerce,Holdenburgh,9876ac6e-7f83-4ef3-9ef3-ce8069ad3a63,http://white-bruce.info/,http://watts-brooks.net/,http://www.garza.com/,Raise place social face reach traditional health. Pull girl water find scientist. Development crime value send.,"['Nuclear medicine', '3D Modelling']",littlenicole
14,Chandler PLC,https://www.stout.org/,leverage impactful e-markets,North Paulbury,024968e3-3ed3-47a0-8520-0bbf09bb1eab,https://whitehead.com/,https://www.morris-ramirez.org/,https://andrade.info/,"Hit high long build road fund care. Determine me value reveal company job cup down.
Eat fear partner less. Too dream they. Between glass investment.",['Aerospace medicine'],nhickman
15,Stevenson-Davis,https://www.torres.com/,unleash real-time portals,Mariaburgh,46c3ce92-84b5-4ed4-9a6b-94300a9b0bdb,http://www.mata-williams.info/,https://short.com/,https://www.reyes.biz/,"Occur brother power buy yet.
Type mission risk through company brother writer likely. Current project defense.","['Biomaterials', 'Hardware & robotics', 'Biosignals']",williammcguire
16,Butler-Flores,https://www.avila-fleming.net/,redefine 24/365 infrastructures,Mortonstad,33e9a32a-5399-450e-8b26-ba5ec99dfc9d,http://shea.com/,https://www.jones.com/,https://wade.com/,Degree she many of tell couple wish cell. Main chair modern experience very. Me glass response consumer all billion.,"['Scientific writing', 'Telecommunications', '3D Modelling', 'Data modelling', 'Ethics']",janicesmith
17,Butler LLC,https://wright.org/,extend sticky synergies,South Markborough,4f0dbdcc-1ca0-4812-b9a7-fdc398a7e344,https://www.wilson.com/,http://blair.biz/,https://taylor.com/,"Space truth worry season recognize beyond audience. Film figure hold rest yet somebody.
When head almost money of firm doctor. Young information rule act old deal including free.",['3D Printing'],penacharles
18,Parsons-Owen,https://www.taylor-lee.com/,innovate 24/365 info-mediaries,East Benjamin,b842337c-69ba-46db-8e6d-1adce3c3c564,http://www.abbott.org/,http://www.hobbs.org/,https://scott.biz/,"After artist baby. Work official Mr candidate business authority. School together official.
Simple dog again important they maintain. Save entire recognize senior.","['Artificial Intelligence', '3D Printing']",schwartzeric
19,"Stephens, White and Williams",https://mendez-wood.biz/,engage extensible e-tailers,West Tonya,6499219e-7c2b-4cc8-915b-d92abe2b22ab,http://www.wood.com/,https://morales.com/,http://www.irwin-gordon.biz/,Tough seem table local respond decision. Energy series current federal friend policy. Factor early agreement realize serve range score.,"['Scientific writing', 'Surgery', 'Data modelling']",nshah
20,"Brown, Graham and Anderson",http://williamson.net/,e-enable integrated web services,Parrishburgh,d37038da-b8c8-4223-902f-c939bae6d713,https://ward.com/,https://guerrero-marshall.org/,https://www.owens.com/,Television hand team probably performance source picture. Likely dinner step quality shake health money. Fine film miss official.,"['Psychiatry', '3D Printing', 'Neuroscience', 'Biosignals', 'Biomedical imaging']",utorres
21,Allen-Wright,http://www.dunn.net/,integrate integrated communities,North Johnstad,949d104a-1cf7-453b-baad-a699e9b66714,http://ross.info/,https://thomas-bailey.info/,http://barnes-jackson.com/,Need space guess almost whatever minute. Commercial direction risk their. Surface time I must then important plant.,"['3D Printing', '3D Modelling']",douglasjeremiah
22,Long-Madden,http://www.morrison.com/,incentivize integrated e-markets,Jessicaview,4a0f30e4-68da-454f-9432-2fce621d2bc8,http://ross.com/,https://www.howard-stark.com/,https://www.bell.com/,"Accept mouth evening from. Event rule across compare defense.
Color in film movement develop. Per key figure successful this employee budget.","['Exoskeletons', 'Machine Learning']",lauradavidson
23,Miles Inc,https://carr.com/,incentivize viral platforms,West Tricia,92bbb28f-d804-4b9d-bf40-e4493556253e,https://gutierrez.com/,http://mullins.com/,http://walter.com/,Better sometimes site coach color great executive. Father build husband project million woman produce. One change over test.,"['Surgery', 'Biomedical imaging', 'Nuclear medicine', 'Aerospace medicine']",williamsandrew
24,Bryant-Mayer,http://graham.com/,exploit clicks-and-mortar supply-chains,South Sharon,592dcf34-7e95-45c0-a99b-587a7eb06e2d,http://www.nguyen.com/,https://www.anderson.com/,http://long.com/,Environmental professional morning around interesting nation. Black wide particular rich final. Voice manager full civil picture price play artist.,"['Dentistry', 'Scientific writing', 'Bionic systems', 'Biosignals', 'Aerospace medicine']",carsonchristopher
25,"Leonard, Pierce and Love",http://baker.biz/,mesh mission-critical portals,Francischester,7319c263-59f0-4d22-849e-5ea45c37f784,https://www.gibson.com/,https://www.marsh.com/,https://parker-gray.com/,"Member share prevent nation. Rest improve spend population nation. Foreign music note care building modern.
Today consider across little effect authority per. Likely brother law follow member thus.","['Aerospace medicine', 'Cell & Tissue Engineering', 'Dentistry', 'Virtual reality', 'Neuroscience']",crosbyjames
26,Andrews-Perez,https://www.lang.com/,enhance robust portals,Lake Josephland,486fa294-026e-429f-a6ff-08bd3f952d83,http://www.reid.com/,https://www.snow.com/,https://www.houston.com/,"No let history though.
Wonder news from save. Herself only executive stage.",['Cleantech'],mmartin
27,Reyes-Briggs,https://www.hernandez.com/,evolve user-centric supply-chains,Heatherview,8438f3d4-3251-45e2-a12b-363a53dad94c,https://brooks.com/,http://www.craig.com/,https://lynn-mcdonald.net/,New into issue whose from stuff economic. General send production official ten call quality. Paper development my sell soon quality because. Father poor really agreement begin once.,['Data science'],andersonmarcus
28,Park-Jackson,https://www.jones.com/,incentivize back-end e-business,Port Ashleyhaven,67e9c0ac-2545-41ab-864d-3a6c0c4a0a69,https://goodman.com/,http://www.james-hamilton.com/,http://www.collins-holland.com/,"Seat some discuss.
Direction coach ok success. School position or card hair. Which scene arm identify clear range.
Movement also letter officer go figure. Property control physical surface may the.","['3D Modelling', 'Psychiatry', 'Data modelling', 'Genetics', 'Ethics']",adamsluis
29,Morris-Moore,https://www.cherry-beck.biz/,re-contextualize viral content,Henryfort,a23b2cb3-5fe1-4a3e-89ff-9d742e039c37,http://www.moore.com/,http://www.zimmerman.com/,http://simmons.com/,"Office cultural onto him common. Sing friend plan will book sure culture. Building base alone ahead.
Security resource want from. Focus view road decade.
Level if energy election if.","['Artificial reality', 'Psychiatry']",amy29
