StartNode,Relationship,EndNode,Id
stevenmiranda,GETS,15e#stevenmiranda,1
tina32,GOES_TO,13,2
kristinaday,FOLLOWS,zmorrison,3
2397,GIVES,2397e#psanders,4
flynnchristine,GOES_TO,615,5
1830,GIVES,1830e#fgraves,6
2750,GIVES,2750e#ithomas,7
hudsonmichelle,GETS,325e#hudsonmichelle,8
1719,GIVES,1719e#royreyes,9
qgonzalez,GOES_TO,661,10
nicholas48,GETS,691e#nicholas48,11
scottjames,FOLLOWS,richarddavis,12
tvaldez,GOES_TO,2788,13
denisepitts,GOES_TO,403,14
thomasmiller,GETS,469e#thomasmiller,15
jasonmontgomery,GETS,2908e#jasonmontgomery,16
aaronpope,FOLLOWS,youngcynthia,17
807,GIVES,807e#glee,18
rbrown,GOES_TO,2552,19
1591,GIVES,1591e#frivera,20
claytonmorris,GOES_TO,1062,21
1279,GIVES,1279e#flynnaaron,22
diane71,GETS,388e#diane71,23
theresa82,FOLLOWS,upayne,24
mreynolds,GETS,1097e#mreynolds,25
sduran,GETS,2325e#sduran,26
uvillarreal,PRESENTS,1572,27
jeffersonkevin,GETS,12e#jeffersonkevin,28
pjones,GOES_TO,1650,29
karen37,GOES_TO,334,30
159,GIVES,159e#srobles,31
2490,GIVES,2490e#fyoung,32
hoovervictoria,GOES_TO,1966,33
2709,GIVES,2709e#padilladustin,34
8,GIVES,8e#jonathanwilkins,35
thompsonstephanie,GETS,1162e#thompsonstephanie,36
timothy42,GETS,2678e#timothy42,37
natashajones,GOES_TO,2858,38
2650,GIVES,2650e#mariemoreno,39
2736,IN_TYPE,Talk,40
helen08,GOES_TO,586,41
2411,GIVES,2411e#contrerasjay,42
erickelly,FOLLOWS,davidbullock,43
perryrobert,GETS,162e#perryrobert,44
monicamarshall,GETS,385e#monicamarshall,45
watkinscynthia,GETS,1464e#watkinscynthia,46
john00,GOES_TO,1732,47
susan21,GETS,1859e#susan21,48
1848,IN_TYPE,Masterclass,49
griffinmichael,GOES_TO,2297,50
667,GIVES,667e#brad07,51
derrickolson,GETS,1502e#derrickolson,52
johndominguez,GOES_TO,2567,53
